group-specs-list,volume group type list,Lists current group types and specs. (Supported by API versions 3.11 - 3.latest)
group-type-create,volume group type create,Creates a group type. (Supported by API versions 3.11 - 3.latest)
group-type-default,volume group type list --default,List the default group type. (Supported by API versions 3.11 - 3.latest)
group-type-delete,volume group type delete,Deletes group type or types. (Supported by API versions 3.11 - 3.latest)
group-type-key,volume group type set,Sets or unsets group_spec for a group type. (Supported by API versions 3.11 - 3.latest)
group-type-list,volume group type set,Lists available 'group types'. (Admin only will see private types) (Supported by API versions 3.11 - 3.latest)
group-type-show,volume group type show,Show group type details. (Supported by API versions 3.11 - 3.latest)
group-type-update,volume group type set,Updates group type name description and/or is_public. (Supported by API versions 3.11 - 3.latest)
group-update,volume group set,Updates a group. (Supported by API versions 3.13 - 3.latest)
image-metadata,volume set --image-property,Sets or deletes volume image metadata.
image-metadata-show,volume show,Shows volume image metadata.
list,volume list,Lists all volumes.
list-filters,block storage resource filter list,List enabled filters. (Supported by API versions 3.33 - 3.latest)
manage,volume create --remote-source k=v,Manage an existing volume.
manageable-list,block storage volume manageable list,Lists all manageable volumes. (Supported by API versions 3.8 - 3.latest)
message-delete,volume message delete,Removes one or more messages. (Supported by API versions 3.3 - 3.latest)
message-list,volume message list,Lists all messages. (Supported by API versions 3.3 - 3.latest)
message-show,volume message show,Shows message details. (Supported by API versions 3.3 - 3.latest)
metadata,volume set --property k=v / volume unset --property k,Sets or deletes volume metadata.
metadata-show,volume show,Shows volume metadata.
metadata-update-all,volume set --property k=v,Updates volume metadata.
migrate,volume migrate --host --force-copy --lock-volume <volume>,Migrates volume to a new host.
qos-associate,volume qos associate,Associates qos specs with specified volume type.
qos-create,volume qos create,Creates a qos specs.
qos-delete,volume qos delete,Deletes a specified qos specs.
qos-disassociate,volume qos disassociate,Disassociates qos specs from specified volume type.
qos-disassociate-all,volume qos disassociate --all,Disassociates qos specs from all associations.
qos-get-association,volume qos show,Gets all associations for specified qos specs.
qos-key,volume qos set --property k=v / volume qos unset --property k,Sets or unsets specifications for a qos spec
qos-list,volume qos list,Lists qos specs.
qos-show,volume qos show,Shows a specified qos specs.
quota-class-show,quota show --class,Lists quotas for a quota class.
quota-class-update,quota set --class,Updates quotas for a quota class.
quota-defaults,quota show --default,Lists default quotas for a tenant.
quota-delete,quota delete --volume,Delete the quotas for a tenant.
quota-show,quota show,Lists quotas for a tenant.
quota-update,quota set,Updates quotas for a tenant.
quota-usage,quota show --usage,Lists quota usage for a tenant.
rate-limits,limits show --rate,Lists rate limits for a user.
readonly-mode-update,volume set --read-only-mode | --read-write-mode,Updates volume read-only access-mode flag.
rename,volume set --name,Renames a volume.
reset-state,volume set --state,Explicitly updates the volume state.
retype,volume type set --type,Changes the volume type for a volume.
revert-to-snapshot,volume revert,Revert a volume to the specified snapshot. (Supported by API versions 3.40 - 3.latest)
service-disable,volume service set --disable,Disables the service.
service-enable,volume service set --enable,Enables the service.
service-get-log,block storage log level list,(Supported by API versions 3.32 - 3.latest)
service-list,volume service list,Lists all services. Filter by host and service binary.
service-set-log,block storage log level set,(Supported by API versions 3.32 - 3.latest)
set-bootable,volume set --bootable / --not-bootable,Update bootable status of a volume.
show,volume show,Shows volume details.
snapshot-create,volume snapshot create,Creates a snapshot.
snapshot-delete,volume snapshot delete,Remove one or more snapshots.
snapshot-list,volume snapshot list,Lists all snapshots.
snapshot-manage,volume snapshot create --remote-source <key=value>,Manage an existing snapshot.
snapshot-manageable-list,block storage snapshot manageable list,Lists all manageable snapshots. (Supported by API versions 3.8 - 3.latest)
snapshot-metadata,volume snapshot set --property k=v / snapshot unset --property k,Sets or deletes snapshot metadata.
snapshot-metadata-show,volume snapshot show,Shows snapshot metadata.
snapshot-metadata-update-all,volume snapshot set --property k=v,Updates snapshot metadata.
snapshot-rename,volume snapshot set --name,Renames a snapshot.
snapshot-reset-state,volume snapshot set --state,Explicitly updates the snapshot state.
snapshot-show,volume snapshot show,Shows snapshot details.
snapshot-unmanage,volume snapshot delete --remote,Stop managing a snapshot.
summary,volume summary,Get volumes summary. (Supported by API versions 3.12 - 3.latest)
thaw-host,volume host set --enable,Thaw and enable the specified cinder-volume host.
transfer-accept,volume transfer accept,Accepts a volume transfer.
transfer-create,volume transfer create,Creates a volume transfer.
transfer-delete,volume transfer delete,Undoes a transfer.
transfer-list,volume transfer list,Lists all transfers.
transfer-show,volume transfer show,Show transfer details.
type-access-add,volume type set --project,Adds volume type access for the given project.
type-access-list,volume type show,Print access information about the given volume type.
type-access-remove,volume type unset --project,Removes volume type access for the given project.
type-create,volume type create,Creates a volume type.
type-default,volume type list --default,List the default volume type.
type-delete,volume type delete,Deletes a specified volume type.
type-key,volume type set --property k=v / volume type unset --property k,Sets or unsets extra_spec for a volume type.
type-list,volume type list,Lists available 'volume types'.
type-show,volume type show,Show volume type details.
type-update,volume type set,"Updates volume type name description and/or is_public."
unmanage,volume delete --remote,Stop managing a volume.
upload-to-image,image create --volume,Uploads volume to Image Service as an image.
version-list,versions show --service block-storage,List all API versions. (Supported by API versions 3.0 - 3.latest)
work-cleanup,block storage cleanup,Request cleanup of services with optional filtering. (Supported by API versions 3.24 - 3.latest)
bash-completion,complete,Prints arguments for bash_completion.
help,help,Shows help about this program or one of its subcommands.
list-extensions,extension list --volume,Lists all available os-api extensions.
